ID	S1	S2	S3
1497-RMM-1546	19.1719861731	17.3766311194	26.9607892464
1497-RMM-1547	23.1007009481	15.0363776846	23.96174114
1497-RMM-1548	27.3854690569	13.7793359886	20.6039045411
1497-RMM-1549	24.38967674	13.2831997656	23.7459246787
1497-RMM-1550	23.1195466451	14.2599981553	23.6403658195
1497-RMM-1551	22.2057008464	15.0307051749	24.7842915113
1497-RMM-1552	20.2716232893	14.741141331	26.7625043857
1497-RMM-1553	24.0584209671	13.6099269455	24.1229542206
1497-RMM-1554	25.9323976566	13.0518351206	22.0703162496
1497-RMM-1555	26.8787115754	16.2372296511	19.1313670293
1497-RMM-1556	23.1207914126	13.8671484915	24.3112127674
1497-RMM-1557	25.2495951823	14.7439631746	21.9158780313
1497-RMM-1558	30.5136368937	12.3572274097	17.7686070742
1497-RMM-1559	20.0765770665	17.1484736627	26.047895458
1497-RMM-1560	28.4940249865	13.3725985833	18.8904890782
1497-RMM-1561	25.7511426242	12.7266022315	22.4165430477
1497-RMM-1562	24.7691783767	14.458150806	22.7450965562
1497-RMM-1563	26.7929965962	13.7874824811	20.4604824904
1497-RMM-1564	22.8537424287	15.053423252	24.1706134742
1497-RMM-1565	23.4810710408	14.8054774449	23.6735619448
1497-RMM-1566	26.4548668182	13.4892617139	21.7756237115
1497-RMM-1567	25.4712259702	14.6553051203	22.6431947712
1497-RMM-1568	26.204264313	13.7624632392	22.5528714771
1497-RMM-1569	23.2027256489	14.8465782146	24.2088862309
1497-RMM-1570	21.0936869844	16.8565163761	24.0986752284
1497-RMM-1571	21.5743970006	15.3464963195	25.5506696937
1497-RMM-1572	25.3217406347	15.6928779344	21.8482382134
1497-RMM-1573	29.508195153	12.7720571752	19.2378063837
1497-RMM-1574	23.5246410261	15.2169703692	23.5633262637
1497-RMM-1575	24.8008182503	14.4496984993	23.2725568117
1497-RMM-1576	19.4955192162	16.7249328731	25.7974668651
1497-RMM-1577	20.3780797226	16.1937809725	24.5305360611
1497-RMM-1578	25.9617134385	14.2963147273	22.3295319896
1497-RMM-1579	19.2396440377	15.7418260523	27.2014693755
1497-RMM-1580	21.3253649951	17.6505074355	23.6182534044
1497-RMM-1581	27.1759152365	14.4563760068	19.8028109849
1497-RMM-1582	22.7206041412	16.4729176598	23.7300136755
1497-RMM-1583	23.3154809063	13.6293718785	24.6793218689
1497-RMM-1584	18.2078402058	18.3587161719	26.7163092049
1497-RMM-1585	26.1315454543	12.0431638791	23.3491396244
1497-RMM-1586	25.0956407986	12.8494869013	23.7890303775
1497-RMM-1587	19.9449463152	15.6558835291	27.1143859925
1497-RMM-1588	21.9900866743	15.0055126854	25.9216352836
1497-RMM-1589	24.602407793	15.6948236532	21.8421988223
1497-RMM-1590	22.129282708	17.5671155481	23.4388352217
1497-RMM-1591	22.6176454547	16.5007314522	23.3291712123
1497-RMM-1592	23.8914913603	15.7896243649	22.4581142252
1497-RMM-1593	22.4971547529	15.5348280631	24.5551163043
1497-RMM-1594	25.1303453081	16.2076359532	21.160328924
1497-RMM-1595	17.7702792969	15.0297650733	28.0680177512
1497-RMM-1596	21.3111948374	14.7161479895	25.7258240747
1497-RMM-1597	24.7852772284	15.7548285631	20.6711721197
1497-RMM-1598	28.2785012673	13.2362168581	20.3047759721
1497-RMM-1599	26.8593838636	14.0910255389	21.391270383
1497-RMM-1600	22.4455556503	15.6197275287	25.0660731044
1497-RMM-1601	21.797049299	15.7813020794	23.8187992246
1497-RMM-1602	24.7425196585	13.1863191496	23.6283146387
1497-RMM-1603	22.5902745493	15.3872304126	24.7888591577
1497-RMM-1604	20.8837329928	16.463692931	25.019024592
1497-RMM-1605	18.2963016592	17.5811619643	27.6633745449
1497-RMM-1606	24.2671882084	15.9714245326	21.8305252808
1497-RMM-1607	23.8259966339	14.0734818609	24.220017639
1497-RMM-1608	25.3442652261	11.8696677658	23.7432157643
